drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,86,178,0,0.024437156154201427,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,87,178,1,0.7846581371700326,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,88,178,1,0.8915905829617936,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,89,178,1,0.586748366244694,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,90,178,0,0.18980949394064764,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,91,178,0,0.13341923386356555,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,92,178,0,0.08010601460788702,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,93,178,0,0.12192419104923743,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,94,178,1,0.592988936562334,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,95,178,1,0.6933884693745311,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,96,178,0,0.1362135833517474,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,97,178,0,0.007713142728547075,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,98,178,0,0.033253973800945795,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,99,178,1,0.8941034952957425,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,100,178,0,0.1871171621715944,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,101,178,0,0.27549824340700896,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,102,178,0,0.36886813897412796,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,103,178,1,0.5739723254094637,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,104,178,0,0.09631526262354037,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,105,178,1,0.6984263807127349,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,106,178,0,0.06168555913231103,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,107,178,0,0.13790899635761486,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,108,178,1,0.7369434276609544,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,109,178,0,0.4958198988111566,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,110,178,1,0.6726231427981715,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,111,178,0,0.2388197440356007,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,112,178,0,0.08709590620407612,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,113,178,1,0.8187010970535222,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,114,178,1,0.6204299121750547,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,115,178,1,0.7248180107056507,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,116,178,1,0.5878277838474127,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,117,178,1,0.5581359829449215,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,118,178,0,0.05060117801350132,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,119,178,0,0.019045647577813782,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,120,178,0,0.02380747885983213,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,121,178,0,0.40660380839870547,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,122,178,0,0.10715553763414279,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,123,178,0,0.1230986040567042,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,124,178,1,0.9397983716491657,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,125,178,1,0.5871029822044049,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,126,178,0,0.003042360282810711,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,127,178,0,0.22991688638473304,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,128,178,0,0.09412629337794101,0
