,Edge,U,pval,adj_pvals
377,NCOR2;SPEN,118.0,0.6524661683949671,1.0
378,NCOR2;NCOA1,108.5,0.43005182872097947,1.0
379,NCOR2;TBL1XR1,107.5,0.4241699979036039,1.0
380,NCOR2;BCL6,97.0,0.24695286537539063,1.0
381,NCOR2;NCOA2,129.5,0.9452991440395184,1.0
382,SPOP;BRD4,105.5,0.3904590061955645,1.0
383,SPOP;CUL3,87.0,0.13390367750501933,1.0
384,SPOP;TRIM24,87.5,0.14139783233265826,1.0
385,SPOP;SUFU,59.5,0.017128474017332567,1.0
386,SPOP;PTEN,68.5,0.035268580264999544,1.0
387,SPOP;DEK,83.0,0.10917894886619792,1.0
388,SPOP;KEAP1,62.5,0.02189969728716257,1.0
389,SPOP;LZTR1,78.0,0.0728877420871436,1.0
390,SPOP;MYD88,88.0,0.14794687878098095,1.0
391,PML;RARA,148.5,0.594333000247832,1.0
392,PML;MDM2,153.5,0.4863765251105725,1.0
393,PML;EP300,155.0,0.4559253719599893,1.0
394,PML;RUNX1,160.5,0.3536688561876278,1.0
395,ELK4;MAPK1,122.0,0.7408473718517307,1.0
396,HIF1A;MAPK1,72.0,0.03963619444718745,1.0
397,HIF1A;CCND1,76.0,0.05414214166514947,1.0
398,HIF1A;VHL,86.0,0.12731160424476914,1.0
399,HIF1A;MDM2,89.0,0.1445204584541749,1.0
400,HIF1A;CREBBP,86.5,0.10739668063688249,1.0
401,HIF1A;EP300,89.0,0.14280302553958862,1.0
402,HIF1A;EPAS1,86.5,0.129220995595573,1.0
403,HIF1A;STAT3,96.0,0.21013781606159465,1.0
404,HIF1A;RUNX1,80.5,0.08368220419250033,1.0
405,HIF1A;SMAD3,77.0,0.05819645401476975,1.0
406,HIF1A;HSP90AA1,82.5,0.09466927505440273,1.0
407,HIF1A;FOXO3,87.0,0.12384878798233129,1.0
408,HIF1A;ARNT,79.0,0.0805663793107601,1.0
409,HIF1A;ZEB1,82.0,0.08740413382979302,1.0
410,HIF1A;JUN,81.5,0.0771832505071352,1.0
