drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,norm-node,0.1,2,242,0.984,1.0,0.5714285714285714,0.6339522546419097,16,13,5,8
Atezo,BLCA,KIRC,strict,norm-node,0.1,3,242,1.0,1.0,0.6190476190476191,0.6445623342175066,20,9,7,6
Atezo,BLCA,KIRC,strict,norm-node,0.1,4,242,0.984,1.0,0.5714285714285714,0.5916666666666667,19,11,7,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,5,242,0.976,1.0,0.40476190476190477,0.45625000000000004,13,19,6,4
Atezo,BLCA,KIRC,strict,norm-node,0.1,6,242,1.0,1.0,0.5952380952380952,0.5198938992042441,21,8,9,4
Atezo,BLCA,KIRC,strict,norm-node,0.1,7,242,1.0,1.0,0.5714285714285714,0.5673076923076923,19,7,11,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,8,242,0.984,1.0,0.6904761904761905,0.6734006734006734,26,7,6,3
Atezo,BLCA,KIRC,strict,norm-node,0.1,9,242,0.984,1.0,0.7142857142857143,0.7155425219941348,26,5,7,4
Atezo,BLCA,KIRC,strict,norm-node,0.1,10,242,0.984,0.999149177538287,0.40476190476190477,0.5833333333333334,11,25,0,6
Atezo,BLCA,KIRC,strict,norm-node,0.1,11,242,1.0,1.0,0.6904761904761905,0.620408163265306,24,11,2,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,12,242,0.984,1.0,0.5238095238095238,0.5876543209876544,16,11,9,6
Atezo,BLCA,KIRC,strict,norm-node,0.1,13,242,1.0,1.0,0.6190476190476191,0.65625,23,9,7,3
Atezo,BLCA,KIRC,strict,norm-node,0.1,14,242,0.96,0.9987714987714987,0.5952380952380952,0.6055555555555555,20,10,7,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,15,242,1.0,1.0,0.5476190476190477,0.46666666666666673,18,12,7,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,16,242,0.976,0.9996878901373283,0.6428571428571429,0.6419098143236074,22,7,8,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,17,242,1.0,1.0,0.6428571428571429,0.6583333333333333,21,9,6,6
Atezo,BLCA,KIRC,strict,norm-node,0.1,18,242,1.0,1.0,0.7380952380952381,0.7272727272727273,26,7,4,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,19,242,0.984,0.9997018485390579,0.6190476190476191,0.609375,22,10,6,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,0,242,1.0,1.0,0.5952380952380952,0.68013468013468,19,14,3,6
