,Edge,U,pval,adj_pvals
465,BGN;FMOD,134.0,0.09950733323534622,1.0
466,TGFB3;TGFBR3,105.0,0.6683137311373722,1.0
467,TGFB3;ENG,65.5,0.022470026559043968,1.0
468,TGFB3;LTBP1,113.0,0.9264941049100369,1.0
469,TGFB3;TGFBR1,121.0,0.8671999255784567,1.0
470,TGFB3;TGFBR2,87.5,0.17004155453581216,1.0
471,TGFB3;FMOD,116.0,1.0,1.0
472,TGFB3;ACVRL1,99.0,0.3429529386129244,1.0
473,TGFB3;LTBP3,91.0,0.37325358824410054,1.0
474,IGF1;TGFA,116.0,1.0,1.0
475,IGF1;IGF1R,116.0,1.0,1.0
476,IGF1;INS,116.0,1.0,1.0
477,IGF1;ESR1,120.0,0.6458230910879958,1.0
478,TNFRSF17;TNFSF13B,116.0,1.0,1.0
479,TNFRSF17;MZB1,112.0,0.6458230910879958,1.0
480,TNFSF13B;TNFRSF13C,116.0,1.0,1.0
481,TNFSF13B;CD40,116.0,1.0,1.0
482,GNAQ;CHRM3,151.0,0.14429691082340446,1.0
483,GNAQ;KRAS,100.0,0.5118686158546122,1.0
484,GNAQ;HRAS,105.0,0.6567966013250524,1.0
485,GNAQ;ADORA2A,135.0,0.433694522589972,1.0
486,GNAQ;GNG2,139.0,0.33038614221985196,1.0
487,GNAQ;NRAS,106.0,0.6876677356754184,1.0
488,CALM3;KRAS,82.0,0.21319357334902156,1.0
489,CALM3;ESR1,111.0,0.866842516800297,1.0
490,CALM3;SNCA,122.0,0.8388702094414581,1.0
491,CALM3;HRAS,82.0,0.21319357334902156,1.0
492,CALM3;NRAS,77.0,0.15253696572079758,1.0
493,CALM3;UNC13A,152.0,0.16817902535794538,1.0
494,TRAF3;TRAF2,111.0,0.8318879486399282,1.0
495,TRAF3;TRAF5,97.0,0.3179884254339146,1.0
496,TRAF3;TNFRSF8,116.0,1.0,1.0
497,TRAF3;TNFRSF13C,112.0,0.7850547444047129,1.0
498,TRAF3;CD40,128.0,0.37017873328529394,1.0
499,TRAF3;DDX58,133.5,0.5284703262533663,1.0
500,TRAF3;BIRC2,120.0,0.8730678439227209,1.0
501,TRAF3;HRAS,115.5,1.0,1.0
502,TRAF3;TRAF6,106.0,0.6265132629567367,1.0
503,SMARCA4;EP300,139.0,0.4139130678030108,1.0
504,SMARCA4;BRD4,150.0,0.22123854059337927,1.0
